"","n","delta","beta","monitor","final","correct","afunc","stages","ifracts","alpha","cov_std","obs_std","intercept","est_var"
"1",100,0,1,"anova","anova",FALSE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"2",100,0,1,"ancova","anova",FALSE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"3",100,0,1,"anova","ancova",FALSE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"4",100,0,1,"ancova","ancova",FALSE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"5",100,0,1,"ancova","anova",TRUE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"6",100,0,1,"anova","ancova",TRUE,"obf",2,2,0.05,0.01,0.1,1,FALSE
"7",100,0,1,"anova","anova",FALSE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"8",100,0,1,"ancova","anova",FALSE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"9",100,0,1,"anova","ancova",FALSE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"10",100,0,1,"ancova","ancova",FALSE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"11",100,0,1,"ancova","anova",TRUE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"12",100,0,1,"anova","ancova",TRUE,"obf",3,2,0.05,0.01,0.1,1,FALSE
"13",100,0,1,"anova","anova",FALSE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"14",100,0,1,"ancova","anova",FALSE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"15",100,0,1,"anova","ancova",FALSE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"16",100,0,1,"ancova","ancova",FALSE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"17",100,0,1,"ancova","anova",TRUE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"18",100,0,1,"anova","ancova",TRUE,"obf",4,2,0.05,0.01,0.1,1,FALSE
"19",100,0,1,"anova","anova",FALSE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"20",100,0,1,"ancova","anova",FALSE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"21",100,0,1,"anova","ancova",FALSE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"22",100,0,1,"ancova","ancova",FALSE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"23",100,0,1,"ancova","anova",TRUE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"24",100,0,1,"anova","ancova",TRUE,"obf",2,2,0.05,0.02,0.1,1,FALSE
"25",100,0,1,"anova","anova",FALSE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"26",100,0,1,"ancova","anova",FALSE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"27",100,0,1,"anova","ancova",FALSE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"28",100,0,1,"ancova","ancova",FALSE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"29",100,0,1,"ancova","anova",TRUE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"30",100,0,1,"anova","ancova",TRUE,"obf",3,2,0.05,0.02,0.1,1,FALSE
"31",100,0,1,"anova","anova",FALSE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"32",100,0,1,"ancova","anova",FALSE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"33",100,0,1,"anova","ancova",FALSE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"34",100,0,1,"ancova","ancova",FALSE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"35",100,0,1,"ancova","anova",TRUE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"36",100,0,1,"anova","ancova",TRUE,"obf",4,2,0.05,0.02,0.1,1,FALSE
"37",100,0,1,"anova","anova",FALSE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"38",100,0,1,"ancova","anova",FALSE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"39",100,0,1,"anova","ancova",FALSE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"40",100,0,1,"ancova","ancova",FALSE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"41",100,0,1,"ancova","anova",TRUE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"42",100,0,1,"anova","ancova",TRUE,"obf",2,2,0.05,0.03,0.1,1,FALSE
"43",100,0,1,"anova","anova",FALSE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"44",100,0,1,"ancova","anova",FALSE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"45",100,0,1,"anova","ancova",FALSE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"46",100,0,1,"ancova","ancova",FALSE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"47",100,0,1,"ancova","anova",TRUE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"48",100,0,1,"anova","ancova",TRUE,"obf",3,2,0.05,0.03,0.1,1,FALSE
"49",100,0,1,"anova","anova",FALSE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"50",100,0,1,"ancova","anova",FALSE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"51",100,0,1,"anova","ancova",FALSE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"52",100,0,1,"ancova","ancova",FALSE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"53",100,0,1,"ancova","anova",TRUE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"54",100,0,1,"anova","ancova",TRUE,"obf",4,2,0.05,0.03,0.1,1,FALSE
"55",100,0,1,"anova","anova",FALSE,"obf",2,2,0.05,0.06,0.1,1,FALSE
